wavelength,Big red-10x epiplan - 010-LCP,Big green-10x epiplan - 010-LCP,Big blue-10x epiplan - 006-LCP,Med red-10x epiplan - 010-LCP,Med green-10x epiplan - 022-LCP- 017,Med blue-10x epiplan - 002-LCP
1012.984924,0.094826064,0.071052632,0.070457355,0.063040791,0.075493421,0.07063394
1013.495422,0.063721015,0.070779777,0.046375753,0.062990688,0.060325621,0.060434544
1014.005859,0.076405312,0.070730003,0.057667819,0.068037111,0.073349633,0.054575223
1014.516235,0.060885957,0.051403509,0.040150801,0.053911404,0.057368421,0.054853911
1015.026489,0.071268238,0.058636524,0.07295174,0.066030677,0.067114094,0.072203517
1015.536865,0.069843092,0.071621378,0.061806353,0.067929583,0.058664747,0.053769613
1016.047058,0.080942428,0.066856837,0.068972069,0.068402052,0.055624889,0.071252138
1016.557251,0.067300079,0.075894471,0.04908947,0.075613618,0.079508493,0.073436263
1017.067322,0.070585922,0.073911453,0.05367676,0.069406213,0.063483352,0.070979158
1017.577332,0.070648938,0.053893328,0.065886089,0.066282993,0.056309236,0.068465965
1018.087402,0.070240657,0.074581431,0.072392878,0.077088632,0.059550989,0.071805909
1018.59729,0.078505793,0.06331045,0.06911706,0.077706752,0.067505721,0.063923292
1019.107178,0.057119708,0.079831126,0.061170751,0.067044764,0.066589906,0.070690703
1019.616882,0.057991232,0.067931689,0.045436429,0.06556397,0.078178368,0.057393384
1020.126587,0.066879617,0.066163668,0.05250549,0.075663805,0.066163668,0.068876023
1020.636414,0.06663966,0.078729548,0.053878874,0.063398825,0.072184793,0.060968199
1021.145996,0.053575108,0.061472915,0.060375026,0.063053781,0.061067154,0.065938595
1021.655762,0.081682663,0.073222566,0.076781703,0.07269757,0.074188563,0.071676537
1022.165161,0.066471572,0.080130044,0.06166388,0.076295987,0.08280742,0.067725753
1022.674622,0.077758841,0.068835549,0.051768215,0.065402642,0.069033922,0.063911376
1023.184143,0.066779733,0.057039566,0.051727793,0.067203731,0.061658968,0.054271783
1023.693481,0.074526041,0.069682152,0.064937895,0.0808455,0.058883456,0.067988669
1024.202759,0.077540107,0.073252407,0.075311943,0.079322638,0.08643784,0.072192513
1024.712158,0.080868762,0.074736842,0.06792976,0.074861368,0.076,0.067236599
1025.221313,0.073320719,0.082790091,0.060785241,0.073320719,0.078226858,0.05487228
1025.730347,0.063327032,0.047228381,0.054347826,0.064508507,0.058093126,0.050330813
1026.239502,0.062988397,0.074826893,0.0625148,0.055884442,0.05673442,0.058962823
1026.748657,0.071446109,0.066515323,0.056469433,0.072428186,0.05584563,0.053768721
1027.257446,0.081412826,0.092293703,0.070641283,0.082164329,0.085701296,0.071643287
1027.766602,0.090305118,0.071428571,0.072834646,0.084399606,0.087198516,0.082923228
1028.275269,0.053913945,0.065589131,0.031104199,0.057542768,0.062543921,0.058061172
1028.784058,0.0785,0.071900047,0.04425,0.0685,0.07378595,0.053
1029.292847,0.091639468,0.061875297,0.064775295,0.069294502,0.05592575,0.066281697
1029.801636,0.06527155,0.071495327,0.041106129,0.055306428,0.052102804,0.060538117
1030.310181,0.073036518,0.088355233,0.057028514,0.072286143,0.081105573,0.062531266
1030.818848,0.057532173,0.062969925,0.045924804,0.042139793,0.072133459,0.047186475
1031.327393,0.067120868,0.048989298,0.059298511,0.081251577,0.06373365,0.076961898
1031.835938,0.086680224,0.065496787,0.075241484,0.085409253,0.062778052,0.081850534
1032.344238,0.090049882,0.069721606,0.07534786,0.086899449,0.065287017,0.079810974
1032.852539,0.073097826,0.075761389,0.064402174,0.075271739,0.073999497,0.073913043
1033.360962,0.093642838,0.083583584,0.083091533,0.069111052,0.061061061,0.091532577
1033.869141,0.055938275,0.053898482,0.055662717,0.056489391,0.065672423,0.039680353
1034.377319,0.101283482,0.069064373,0.0703125,0.083984375,0.068021892,0.072823661
1034.885498,0.06090776,0.084026846,0.061200586,0.072035139,0.063892617,0.050366032
1035.393555,0.061635598,0.077731674,0.047805171,0.059230307,0.058367911,0.054720385
1035.901611,0.089956332,0.072319202,0.071615721,0.077147016,0.072042117,0.070160116
1036.409546,0.06741573,0.062865497,0.054965077,0.065897358,0.054093567,0.049802612
1036.917358,0.096835443,0.074084668,0.098734177,0.119303797,0.074084668,0.087658228
1037.425171,0.085409253,0.051144811,0.053704303,0.059527661,0.055605114,0.049822064
1037.933105,0.07820711,0.074310595,0.094281298,0.080061824,0.080696662,0.086244204
1038.440796,0.086750789,0.095760451,0.069400631,0.068454259,0.077379188,0.070977918
1038.948486,0.088536813,0.067712874,0.060888475,0.081702392,0.078465562,0.063373719
1039.456055,0.058304444,0.058097532,0.052946738,0.057674125,0.04846478,0.054522534
1039.963623,0.069138277,0.073140367,0.05511022,0.054776219,0.059134765,0.054776219
1040.471191,0.092827004,0.065789474,0.072054528,0.085361895,0.051136364,0.05874716
1040.978638,0.06504065,0.07790589,0.053184282,0.053523035,0.089124338,0.034891599
1041.48584,0.090425532,0.093866171,0.060837766,0.067486702,0.091387856,0.073138298
1041.993286,0.070943652,0.067893401,0.063815343,0.0634759,0.052030457,0.05940258
1042.50061,0.079414838,0.074562851,0.053639847,0.059212818,0.061035962,0.078718217
1043.00769,0.054221252,0.049013158,0.045851528,0.063682678,0.040789474,0.072052402
1043.514893,0.078794481,0.08736,0.054829339,0.067538126,0.08576,0.053376906
1044.022095,0.075027184,0.070995962,0.065241029,0.077201885,0.061238223,0.058354476
1044.528931,0.08869502,0.098671096,0.081788441,0.076335878,0.089036545,0.091966558
1045.036133,0.074538745,0.071750433,0.051291513,0.033210332,0.050606586,0.048708487
1045.542969,0.089939024,0.076437588,0.078125,0.083079268,0.045231417,0.105564024
1046.049805,0.100153492,0.050884157,0.076745971,0.099769762,0.07217611,0.054105909
1046.556763,0.094026975,0.065482797,0.069749518,0.064739884,0.054014058,0.081695568
1047.063354,0.073180226,0.090507726,0.059166991,0.074737252,0.068800589,0.052160374
1047.570068,0.0872,0.066542056,0.0592,0.0644,0.081121495,0.064
1048.076782,0.102048857,0.062807416,0.101260835,0.10323089,0.039349224,0.072892041
1048.583252,0.05652936,0.061638591,0.06485539,0.065293602,0.053981623,0.053900088
1049.089722,0.081325301,0.059238917,0.051635112,0.072289157,0.063162024,0.057228916
1049.596313,0.086512866,0.076892588,0.075421473,0.06122449,0.076892588,0.032830524
