,time,temperature
342,2018-11-01 09:24:10.406350,18.61
343,2018-11-01 09:24:10.718462,18.65
344,2018-11-01 09:24:11.017000,18.59
345,2018-11-01 09:24:11.320084,18.56
346,2018-11-01 09:24:11.626556,18.64
347,2018-11-01 09:24:11.934345,18.59
348,2018-11-01 09:24:12.234834,18.62
349,2018-11-01 09:24:12.541315,18.59
350,2018-11-01 09:24:12.845445,18.6
351,2018-11-01 09:24:13.153250,18.65
352,2018-11-01 09:24:13.456121,18.68
353,2018-11-01 09:24:13.760919,18.66
354,2018-11-01 09:24:14.066153,18.62
355,2018-11-01 09:24:14.369807,18.6
356,2018-11-01 09:24:14.675151,18.64
357,2018-11-01 09:24:14.979046,18.62
358,2018-11-01 09:24:15.286465,18.66
359,2018-11-01 09:24:15.591167,18.71
360,2018-11-01 09:24:15.897282,18.68
361,2018-11-01 09:24:16.197824,18.62
362,2018-11-01 09:24:16.503195,18.63
363,2018-11-01 09:24:16.806770,18.64
364,2018-11-01 09:24:17.113532,18.61
365,2018-11-01 09:24:17.421435,18.58
366,2018-11-01 09:24:17.722599,18.65
367,2018-11-01 09:24:18.027696,18.66
368,2018-11-01 09:24:18.334445,18.65
369,2018-11-01 09:24:18.637678,18.69
370,2018-11-01 09:24:18.941633,18.69
371,2018-11-01 09:24:19.245204,18.66
372,2018-11-01 09:24:19.553640,18.7
373,2018-11-01 09:24:19.858048,18.64
374,2018-11-01 09:24:20.165765,18.66
375,2018-11-01 09:24:20.464682,18.68
376,2018-11-01 09:24:20.771129,18.66
377,2018-11-01 09:24:21.077993,18.67
378,2018-11-01 09:24:21.383618,18.67
379,2018-11-01 09:24:21.687457,18.68
380,2018-11-01 09:24:21.991874,18.7
381,2018-11-01 09:24:22.298749,18.68
382,2018-11-01 09:24:22.603775,18.63
383,2018-11-01 09:24:22.906638,18.67
384,2018-11-01 09:24:23.209786,18.68
385,2018-11-01 09:24:23.516055,18.71
386,2018-11-01 09:24:23.823184,18.67
387,2018-11-01 09:24:24.125301,18.64
388,2018-11-01 09:24:24.430649,18.69
389,2018-11-01 09:24:24.735781,18.72
390,2018-11-01 09:24:25.039535,18.69
391,2018-11-01 09:24:25.348538,18.7
392,2018-11-01 09:24:25.649051,18.64
393,2018-11-01 09:24:25.954406,18.71
394,2018-11-01 09:24:26.258438,18.68
395,2018-11-01 09:24:26.563907,18.72
396,2018-11-01 09:24:26.867176,18.69
397,2018-11-01 09:24:27.175484,18.74
398,2018-11-01 09:24:27.479340,18.73
399,2018-11-01 09:24:27.782789,18.72
400,2018-11-01 09:24:28.088182,18.7
401,2018-11-01 09:24:28.391861,18.7
402,2018-11-01 09:24:28.695611,18.8
403,2018-11-01 09:24:29.002908,18.69
404,2018-11-01 09:24:29.306646,18.7
405,2018-11-01 09:24:29.611347,18.75
406,2018-11-01 09:24:29.916821,18.7
407,2018-11-01 09:24:30.221915,18.71
408,2018-11-01 09:24:30.526377,18.74
409,2018-11-01 09:24:30.830173,18.64
410,2018-11-01 09:24:31.137541,18.74
411,2018-11-01 09:24:31.441871,18.7
412,2018-11-01 09:24:31.747408,18.74
413,2018-11-01 09:24:32.054035,18.67
414,2018-11-01 09:24:32.358696,18.69
415,2018-11-01 09:24:32.659718,18.78
416,2018-11-01 09:24:32.966622,18.71
417,2018-11-01 09:24:33.269387,18.75
418,2018-11-01 09:24:33.574128,18.76
419,2018-11-01 09:24:33.882235,18.82
420,2018-11-01 09:24:34.184134,18.72
421,2018-11-01 09:24:34.494779,18.74
422,2018-11-01 09:24:34.792101,18.72
423,2018-11-01 09:24:35.103692,18.76
424,2018-11-01 09:24:35.404037,18.7
425,2018-11-01 09:24:35.710046,18.75
426,2018-11-01 09:24:36.019794,18.74
427,2018-11-01 09:24:36.317101,18.74
428,2018-11-01 09:24:36.625370,18.74
429,2018-11-01 09:24:36.927595,18.77
430,2018-11-01 09:24:37.233056,18.8
431,2018-11-01 09:24:37.537288,18.75
432,2018-11-01 09:24:37.843534,18.77
433,2018-11-01 09:24:38.154331,18.76
434,2018-11-01 09:24:38.451648,18.75
435,2018-11-01 09:24:38.757420,18.7
436,2018-11-01 09:24:39.061545,18.73
437,2018-11-01 09:24:39.367194,18.81
438,2018-11-01 09:24:39.672563,18.76
439,2018-11-01 09:24:39.976906,18.75
440,2018-11-01 09:24:40.282082,18.79
441,2018-11-01 09:24:40.585780,18.76
442,2018-11-01 09:24:40.890174,18.78
443,2018-11-01 09:24:41.197343,18.72
444,2018-11-01 09:24:41.500800,18.75
445,2018-11-01 09:24:41.804846,18.76
446,2018-11-01 09:24:42.115231,18.77
447,2018-11-01 09:24:42.418672,18.74
448,2018-11-01 09:24:42.769992,18.76
449,2018-11-01 09:24:43.076212,18.72
450,2018-11-01 09:24:43.379300,18.8
451,2018-11-01 09:24:43.685807,18.74
452,2018-11-01 09:24:43.989804,18.81
453,2018-11-01 09:24:44.294538,18.82
454,2018-11-01 09:24:44.603842,18.76
455,2018-11-01 09:24:44.905011,18.74
456,2018-11-01 09:24:45.210979,18.79
457,2018-11-01 09:24:45.515935,18.75
458,2018-11-01 09:24:45.820176,18.75
459,2018-11-01 09:24:46.124430,18.75
460,2018-11-01 09:24:46.428629,18.71
461,2018-11-01 09:24:46.735042,18.74
462,2018-11-01 09:24:47.038284,18.8
463,2018-11-01 09:24:47.344986,18.7
464,2018-11-01 09:24:47.648832,18.61
465,2018-11-01 09:24:47.956706,18.59
466,2018-11-01 09:24:48.259621,18.64
467,2018-11-01 09:24:48.563663,18.6
468,2018-11-01 09:24:48.868707,18.58
469,2018-11-01 09:24:49.174776,18.55
470,2018-11-01 09:24:49.478360,18.54
471,2018-11-01 09:24:49.784574,18.43
472,2018-11-01 09:24:50.088853,18.43
473,2018-11-01 09:24:50.395149,18.3
474,2018-11-01 09:24:50.697771,18.3
475,2018-11-01 09:24:51.002882,18.22
476,2018-11-01 09:24:51.309118,18.21
477,2018-11-01 09:24:51.616569,18.11
478,2018-11-01 09:24:51.919473,18.1
479,2018-11-01 09:24:52.225279,18.02
480,2018-11-01 09:24:52.529680,17.97
481,2018-11-01 09:24:52.835402,17.98
482,2018-11-01 09:24:53.140076,17.86
483,2018-11-01 09:24:53.444538,17.79
484,2018-11-01 09:24:53.751374,17.75
485,2018-11-01 09:24:54.058273,17.65
486,2018-11-01 09:24:54.359410,17.59
487,2018-11-01 09:24:54.663323,17.56
488,2018-11-01 09:24:54.970241,17.5
489,2018-11-01 09:24:55.279931,17.42
490,2018-11-01 09:24:55.582845,17.3
491,2018-11-01 09:24:55.886185,17.29
492,2018-11-01 09:24:56.190036,17.11
493,2018-11-01 09:24:56.498468,17.04
494,2018-11-01 09:24:56.797413,17.06
495,2018-11-01 09:24:57.109059,16.96
496,2018-11-01 09:24:57.411777,16.93
497,2018-11-01 09:24:57.716367,16.82
498,2018-11-01 09:24:58.021058,16.73
499,2018-11-01 09:24:58.322998,16.69
500,2018-11-01 09:24:58.629318,16.53
501,2018-11-01 09:24:58.934348,16.55
502,2018-11-01 09:24:59.238401,16.45
503,2018-11-01 09:24:59.547867,16.38
504,2018-11-01 09:24:59.850038,16.22
505,2018-11-01 09:25:00.158524,16.19
506,2018-11-01 09:25:00.458794,16.09
507,2018-11-01 09:25:00.764521,16.03
508,2018-11-01 09:25:01.070872,15.84
509,2018-11-01 09:25:01.375416,15.79
510,2018-11-01 09:25:01.680841,15.71
511,2018-11-01 09:25:01.982816,15.6
512,2018-11-01 09:25:02.289046,15.56
513,2018-11-01 09:25:02.597829,15.49
