136s_wl,136s,137s_wl,137s,138s_wl,138s,139s_wl,139s,140s_wl,140s,141s_wl,141s,143s_wl,143s
667.6977545,0.048065415,672.2045542,0.042751745,673.7068208,0.045029032,668.4488878,0.055656374,663.5665214,0.333485448,700.7476192,0.723660706,731.9196507,0.366885665
670.7022877,0.045788128,675.2090874,0.045029032,676.711354,0.042751745,671.453421,0.051101799,664.3176547,0.306157998,702.2498858,0.691778681,732.670784,0.394213115
673.7068208,0.04351084,678.2136206,0.045029032,679.7158871,0.041992649,674.4579541,0.048065415,665.068788,0.281866932,703.7521524,0.65382389,733.4219173,0.424576948
676.711354,0.041233553,681.2181537,0.045788128,682.7204203,0.041992649,677.4624873,0.046547224,666.1954879,0.248466715,705.2544189,0.612832715,734.1730506,0.451904398
679.7158871,0.038956265,684.2226869,0.045029032,685.7249534,0.039715361,680.4670204,0.045029032,667.6977545,0.210511924,706.3811189,0.582468882,734.9241839,0.479231848
682.7204203,0.038956265,687.22722,0.045029032,688.7294866,0.040474457,683.4715536,0.044269936,669.9511544,0.17103894,707.1322522,0.558177815,735.6753171,0.506559298
685.7249534,0.039715361,690.2317532,0.04351084,691.7340197,0.038956265,686.4760867,0.042751745,672.9556875,0.142193299,707.8833855,0.533886748,736.8020171,0.541477707
688.7294866,0.04351084,693.2362863,0.041992649,694.7385529,0.041233553,689.4806199,0.041992649,675.9602207,0.133084149,708.6345187,0.506559298,737.928717,0.579432498
691.7340197,0.045788128,696.2408195,0.041992649,697.7430861,0.041992649,692.485153,0.041992649,678.9647538,0.130806861,709.385652,0.482268232,739.0554169,0.609796331
694.7385529,0.048065415,699.2453526,0.041233553,700.7476192,0.041992649,695.4896862,0.042751745,681.969287,0.124734095,710.1367853,0.454940782,740.5576835,0.647751123
697.7430861,0.050342703,702.2498858,0.041233553,703.7521524,0.044269936,698.4942193,0.04351084,684.9738201,0.114106753,710.8879186,0.430649715,742.4355167,0.683681659
700.7476192,0.051101799,705.2544189,0.041992649,706.7566855,0.044269936,701.4987525,0.044269936,687.9783533,0.097406645,711.6390519,0.406358648,744.31335,0.711515173
703.7521524,0.051101799,708.2589521,0.04351084,709.7612187,0.042751745,704.5032857,0.042751745,690.9828865,0.081465632,712.3901852,0.382067582,746.5667498,0.741879006
706.7566855,0.048824511,711.2634853,0.045029032,712.7657518,0.041992649,707.5078188,0.041992649,693.9874196,0.067801907,713.1413185,0.354740132,749.571283,0.75402454
709.7612187,0.046547224,714.2680184,0.046547224,715.770285,0.041992649,710.512352,0.041992649,697.7430861,0.057933661,713.8924518,0.333485448,752.5758161,0.750988156
712.7657518,0.044269936,717.2725516,0.048065415,718.7748181,0.038956265,713.5168851,0.041233553,700.7476192,0.05641547,715.0191517,0.29856704,755.5803493,0.734288048
715.770285,0.041992649,720.2770847,0.048065415,721.7793513,0.038956265,716.5214183,0.038956265,703.7521524,0.057174565,716.5214183,0.257575865,758.2093158,0.702912087
718.7748181,0.040474457,723.2816179,0.045788128,724.7838845,0.038956265,719.5259514,0.038956265,706.7566855,0.057933661,718.0236849,0.224175649,760.087149,0.675078573
721.7793513,0.038956265,726.286151,0.045029032,727.7884176,0.038956265,722.5304846,0.038956265,709.7612187,0.059451853,720.2770847,0.184702665,761.5894156,0.641678356
724.7838845,0.040474457,729.2906842,0.044269936,730.7929508,0.039715361,725.5350177,0.038956265,712.7657518,0.059451853,723.2816179,0.155097928,763.0916822,0.600687181
727.7884176,0.041992649,732.2952173,0.041992649,733.7974839,0.041992649,728.5395509,0.039715361,715.770285,0.057174565,726.286151,0.141434203,764.5939488,0.56273239
730.7929508,0.042751745,735.2997505,0.041992649,736.8020171,0.041992649,731.5440841,0.041992649,718.7748181,0.054897278,729.2906842,0.137638724,766.0962153,0.518704832
733.7974839,0.046547224,738.3042837,0.041233553,739.8065502,0.044269936,734.5486172,0.041992649,721.7793513,0.051860895,732.2952173,0.130047765,767.2229153,0.485304615
736.8020171,0.048065415,741.3088168,0.041233553,742.8110834,0.045029032,737.5531504,0.041233553,724.7838845,0.049583607,735.2997505,0.12017952,767.9740486,0.457977165
739.8065502,0.051101799,744.31335,0.041992649,745.8156165,0.045029032,740.5576835,0.041992649,727.7884176,0.04730632,738.3042837,0.104997603,769.1007485,0.420022373
742.8110834,0.051101799,747.3178831,0.041992649,748.8201497,0.045029032,743.5622167,0.041992649,730.7929508,0.044269936,741.3088168,0.089815686,770.6030151,0.372958432
745.8156165,0.051860895,750.3224163,0.045029032,751.8246829,0.041992649,746.5667498,0.040474457,733.7974839,0.041992649,744.31335,0.073874674,771.729715,0.336521832
748.8201497,0.051101799,753.3269494,0.045029032,754.829216,0.041992649,749.571283,0.038956265,736.8020171,0.041233553,747.3178831,0.064006428,772.8564149,0.29856704
751.4491162,0.051101799,756.3314826,0.048065415,757.8337492,0.041992649,752.5758161,0.038956265,739.8065502,0.041233553,750.3224163,0.058692757,774.3586815,0.254539482
754.829216,0.048824511,759.3360157,0.048065415,760.8382823,0.039715361,755.5803493,0.038956265,742.8110834,0.041992649,753.3269494,0.057174565,776.2365147,0.205957349
757.8337492,0.045029032,762.3405489,0.048065415,763.8428155,0.039715361,758.5848825,0.03819717,745.8156165,0.041233553,756.3314826,0.057174565,778.8654813,0.155097928
760.8382823,0.04351084,765.3450821,0.048065415,766.8473486,0.040474457,761.5894156,0.038956265,748.8201497,0.041992649,759.3360157,0.057174565,781.8700144,0.121697711
763.8428155,0.042751745,768.3496152,0.048065415,769.8518818,0.041992649,764.5939488,0.041233553,751.8246829,0.042751745,762.3405489,0.058692757,784.8745476,0.109552178
766.8473486,0.041992649,771.3541484,0.045029032,772.8564149,0.041992649,767.5984819,0.042751745,754.829216,0.045029032,765.3450821,0.057174565,787.8790807,0.108793082
769.8518818,0.041992649,774.3586815,0.044269936,775.8609481,0.04351084,770.6030151,0.042751745,757.8337492,0.045029032,768.3496152,0.057174565,790.8836139,0.110311274
772.8564149,0.041233553,777.3632147,0.041992649,778.8654813,0.045029032,773.6075482,0.045029032,760.8382823,0.042751745,771.3541484,0.054138182,794.6392803,0.10727489
775.8609481,0.042751745,780.3677478,0.041992649,781.8700144,0.045029032,776.6120814,0.04351084,763.8428155,0.041992649,774.3586815,0.05261999,797.6438135,0.098924836
778.8654813,0.045029032,783.372281,0.041992649,784.8745476,0.045029032,779.6166145,0.04351084,766.8473486,0.039715361,777.3632147,0.051101799,,
781.8700144,0.04730632,786.3768141,0.041992649,787.8790807,0.045029032,782.6211477,0.041992649,769.8518818,0.038956265,780.3677478,0.048065415,,
784.8745476,0.049583607,789.3813473,0.042751745,790.8836139,0.045029032,785.6256809,0.040474457,772.8564149,0.037438074,783.372281,0.045029032,,
787.8790807,0.051101799,792.3858805,0.044269936,793.888147,0.04351084,788.630214,0.038956265,775.8609481,0.036678978,786.3768141,0.04351084,,
790.8836139,0.051860895,795.3904136,0.045029032,796.8926802,0.041992649,791.6347472,0.03819717,778.8654813,0.038956265,789.3813473,0.041992649,,
793.888147,0.054138182,798.0193801,0.048065415,798.7705134,0.041992649,794.6392803,0.037438074,781.8700144,0.038956265,792.3858805,0.041233553,,
796.8926802,0.054138182,,,739.0554169,0.04351084,797.6438135,0.03819717,784.8745476,0.039715361,795.3904136,0.038956265,,
798.7705134,0.054138182,,,742.0599501,0.045029032,,,787.8790807,0.041992649,798.0193801,0.039968393,,
