,wavelength,big_blue_R_LL,big_blue_R_RR,big_blue_R_pp,big_blue_R_sp,med_blue_R_LL,med_blue_R_RR,med_blue_R_pp,med_blue_R_sp
64,5.147651006711409e-07,0.0017293740949101866,9.194084092764797e-05,0.0004402281142639332,0.0005280597304628484,0.0038806353051977637,1.3774483100614182e-05,0.000755870900105519,0.001089059363508763
65,5.181208053691275e-07,0.017945190130701595,7.577518527858737e-05,0.004146942163146059,0.004736226910851517,0.008953435103980268,3.157463323213072e-05,0.0017403769495322515,0.002511846681701504
66,5.21476510067114e-07,0.0276371823646255,2.221003123500496e-05,0.006356653816066953,0.007081309710757685,0.013885359872631044,5.2149065229791497e-05,0.0026761762868614232,0.00390951089926034
67,5.248322147651006e-07,0.019251301847957134,7.822559841658394e-07,0.004438399797661443,0.004801921619576926,0.017567801148257685,7.151283224899998e-05,0.0033505468817798837,0.004969856390371207
68,5.281879194630873e-07,0.004657104665824519,3.648366627704634e-05,0.001110731061728284,0.0010947165123747701,0.019470926295823743,8.619289721238794e-05,0.003671900236893368,0.005536577818283639
69,5.315436241610739e-07,0.000297170242055761,8.295351005593377e-05,0.0001072614763167678,0.00012585475829948262,0.019519892965199077,9.379567675506137e-05,0.0036388344849928055,0.0055795252912400955
70,5.348993288590604e-07,0.007677021518302616,8.390277683840336e-05,0.0017551221730800932,0.002110766542398999,0.01796032660129309,9.331804628650173e-05,0.003309451417046659,0.005160299096692184
71,5.38255033557047e-07,0.0151338296668173,3.97457295560162e-05,0.003426539038675368,0.003965949617517893,0.01523281545017938,8.51837230954905e-05,0.002774694199622167,0.004398703038193399
72,5.416107382550336e-07,0.013922110947791244,2.4172532852393927e-06,0.0031593592781817823,0.0035300113717587453,0.011863244450976309,7.1037275824845e-05,0.002136580822170183,0.0034423030635564104
73,5.449664429530202e-07,0.006213493981918749,1.29840212369363e-05,0.0014384641598744168,0.0015017487779328818,0.008371618234551622,5.3363587393161547e-05,0.0014913133660796403,0.0024402587694219466
74,5.483221476510067e-07,0.0004082081699439268,5.759743975144268e-05,0.00013746960716934514,8.319570114036623e-05,0.005201899047073738,3.501832523592616e-05,0.0009172449866336027,0.00152252964469129
75,5.516778523489933e-07,0.0015242356269617584,8.688380840194847e-05,0.0003687331083633456,0.0004814300483820789,0.0026756284367854956,1.8755518101634324e-05,0.000467786783097442,0.0007855574291273473
76,5.550335570469799e-07,0.006752163447543027,7.056864194633792e-05,0.0015114558709148158,0.0018610535903505838,0.0009708502218748679,6.825097498641124e-06,0.00016915633704796786,0.0002851052237614822
77,5.583892617449665e-07,0.009902778712107591,2.6911070014443977e-05,0.002204816163554489,0.002603691747092748,0.00012500891824830093,6.911151424223033e-07,2.2400956344159482e-05,3.6071115923117914e-05
78,5.61744966442953e-07,0.008007664187607845,4.3198241537147155e-07,0.001795513956282684,0.0020217253444677506,5.715161298659783e-05,8.954932340316758e-07,8.591658845740444e-06,1.808788229528619e-05
79,5.651006711409396e-07,0.003283097524166667,1.608522197161125e-05,0.0007653745593270081,0.0007770899134606982,0.0006022968944696084,7.067210099693873e-06,9.573766499301932e-05,0.00018495555125479045
80,5.684563758389262e-07,0.00016897306474545696,5.689868388542406e-05,8.06582499956061e-05,3.399180554782023e-05,0.0015501245955983685,1.8056231866885353e-05,0.0002459595003590495,0.0004756808409554031
81,5.718120805369128e-07,0.0009789169341273096,8.334600530383632e-05,0.00024338830358348602,0.0003290361306012799,0.002681201175354544,3.215736454747088e-05,0.00042175769246497515,0.0008251337284184091
82,5.751677852348993e-07,0.004193845118378489,7.150816884571376e-05,0.0009275303592127436,0.0011923332040190025,0.003796134699582997,4.7382272820283815e-05,0.0005906813321999455,0.0011729050234304168
